ann_id,wine_type,normalized,optimizer,hidden_layer_1_nodes,hidden_layer_1_activation,hidden_layer_2_nodes,hidden_layer_2_activation,train_mae,validation_mae,test_mae,train_pc,validation_pc,test_pc
0,white,False,nadam,6,relu,0,NA,0.5682641189168052,0.5928837809338404,0.571144546224052,0.5387491502379333,0.5040899795501023,0.5102249488752556
0,red,False,nadam,6,relu,0,NA,0.4959406580667773,0.5078669044206727,0.5006456284868981,0.5850622406639004,0.60062893081761,0.5993690851735016
0,white,True,nadam,6,relu,0,NA,0.5759855336189919,0.5970091161552382,0.5782490044771285,0.5329707681849082,0.5061349693251533,0.5214723926380368
0,red,True,nadam,6,relu,0,NA,0.48102582886011275,0.5030842367208229,0.48684609650813443,0.6109958506224067,0.5974842767295597,0.6277602523659306
1,white,False,nadam,12,relu,0,NA,0.5829570210766095,0.5991002128655681,0.5969501039001839,0.5275322909585316,0.5020449897750511,0.5153374233128835
1,red,False,nadam,12,relu,0,NA,0.5041145442432388,0.503747802110588,0.5031197981127429,0.5860995850622407,0.5974842767295597,0.5993690851735016
1,white,True,nadam,12,relu,0,NA,0.5544084449919773,0.585600562378429,0.5668281709245865,0.5489462950373896,0.5184049079754601,0.532719836400818
1,red,True,nadam,12,relu,0,NA,0.48227826144190744,0.5014592701534055,0.4885508615511825,0.5943983402489627,0.5974842767295597,0.6025236593059937
2,white,False,nadam,24,relu,0,NA,0.565436988846126,0.5913453531167746,0.5764731256508389,0.540448674371176,0.5010224948875256,0.5010224948875256
2,red,False,nadam,24,relu,0,NA,0.49402454285206143,0.4975153335235404,0.5019567306109407,0.6006224066390041,0.5943396226415094,0.580441640378549
2,white,True,nadam,24,relu,0,NA,0.5548073721936898,0.5870332717895508,0.5686334471517301,0.5543847722637661,0.523517382413088,0.5337423312883436
2,red,True,nadam,24,relu,0,NA,0.4800576115050256,0.5008097849551987,0.4897701883165618,0.6047717842323651,0.5911949685534591,0.61198738170347
3,white,False,nadam,48,relu,0,NA,0.5620815637239707,0.5905484772898668,0.5713081710909041,0.5462270564242012,0.5071574642126789,0.5214723926380368
3,red,False,nadam,48,relu,0,NA,0.48592548746291037,0.4994952798639453,0.49442313522194464,0.6068464730290456,0.5943396226415094,0.5930599369085173
3,white,True,nadam,48,relu,0,NA,0.5493586747359451,0.5892914328838419,0.5629652731257714,0.5537049626104691,0.5173824130879345,0.5316973415132924
3,red,True,nadam,48,relu,0,NA,0.47647386517267504,0.4943743906680893,0.48719829866186676,0.6006224066390041,0.6037735849056604,0.6182965299684543
4,white,False,nadam,96,relu,0,NA,0.5637526452176673,0.5908174880443176,0.5714307060514735,0.5506458191706323,0.5132924335378323,0.5061349693251533
4,red,False,nadam,96,relu,0,NA,0.5059149695629895,0.506846456407751,0.504187776463265,0.5902489626556017,0.6037735849056604,0.580441640378549
4,white,True,nadam,96,relu,0,NA,0.49617725468913687,0.5556807908056216,0.5459683374758878,0.6012916383412644,0.5378323108384458,0.5419222903885481
4,red,True,nadam,96,relu,0,NA,0.46740876886359883,0.49654432662627984,0.47909510248466997,0.6109958506224067,0.5660377358490566,0.6182965299684543
5,white,False,rmsprop,6,relu,0,NA,0.5754203370118287,0.6004243284646719,0.5772415094824169,0.5285520054384772,0.49284253578732107,0.5132924335378323
5,red,False,rmsprop,6,relu,0,NA,0.504905386089784,0.5063633813798053,0.5020913160185708,0.5778008298755186,0.60062893081761,0.5772870662460567
5,white,True,rmsprop,6,relu,0,NA,0.5513754284843793,0.5873491554416275,0.5629178205150768,0.5598232494901427,0.5194274028629857,0.5368098159509203
5,red,True,rmsprop,6,relu,0,NA,0.4957393684822494,0.5029941249943379,0.4966707816259342,0.5767634854771784,0.5817610062893082,0.583596214511041
6,white,False,rmsprop,12,relu,0,NA,0.5847005487541858,0.6023979035867016,0.5830885886170869,0.5200543847722637,0.49795501022494887,0.516359918200409
6,red,False,rmsprop,12,relu,0,NA,0.5211688527427768,0.5068463019604953,0.5120995954760241,0.5892116182572614,0.6037735849056604,0.5930599369085173
6,white,True,rmsprop,12,relu,0,NA,0.5586070724282437,0.5868616815968769,0.5666761549460132,0.5526852481305234,0.5194274028629857,0.5368098159509203
6,red,True,rmsprop,12,relu,0,NA,0.4922560146735417,0.5009767244446952,0.4959452671207464,0.5871369294605809,0.5754716981132075,0.5867507886435331
7,white,False,rmsprop,24,relu,0,NA,0.5732213089370468,0.6012213025356363,0.5763299957618635,0.5329707681849082,0.5,0.5081799591002045
7,red,False,rmsprop,24,relu,0,NA,0.5045497056359572,0.5034252112766482,0.4975848152810467,0.5860995850622407,0.5974842767295597,0.6182965299684543
7,white,True,rmsprop,24,relu,0,NA,0.5592545696377835,0.5888982691891598,0.5640057400935511,0.548606390210741,0.5122699386503068,0.5357873210633947
7,red,True,rmsprop,24,relu,0,NA,0.47294221231056943,0.49375344822241823,0.4771881840582526,0.6109958506224067,0.5786163522012578,0.6309148264984227
8,white,False,rmsprop,48,relu,0,NA,0.5982145673154082,0.6282753890764982,0.5909975116238272,0.5152957171991842,0.4897750511247444,0.5122699386503068
8,red,False,rmsprop,48,relu,0,NA,0.5045659245297127,0.5081897231767762,0.5019779536250262,0.5860995850622407,0.5849056603773585,0.6088328075709779
8,white,True,rmsprop,48,relu,0,NA,0.5305029853195823,0.5721019226105423,0.5539597094912226,0.5754588715159755,0.5204498977505112,0.5378323108384458
8,red,True,rmsprop,48,relu,0,NA,0.4812499903049706,0.505639834973797,0.4911598723017455,0.5995850622406639,0.5786163522012578,0.6151419558359621
9,white,False,rmsprop,96,relu,0,NA,0.6151878736523201,0.6387002824030527,0.622100868595646,0.4768864717878994,0.4488752556237219,0.467280163599182
9,red,False,rmsprop,96,relu,0,NA,0.5146296073786946,0.5152223245152887,0.5156302376876494,0.5632780082987552,0.5849056603773585,0.5615141955835962
9,white,True,rmsprop,96,relu,0,NA,0.5440304472201702,0.5856344738864704,0.5614788800417037,0.5564242012236573,0.5132924335378323,0.5347648261758691
9,red,True,rmsprop,96,relu,0,NA,0.46416276915934074,0.4904504047249848,0.48224096568977043,0.6130705394190872,0.5691823899371069,0.5993690851735016
10,white,False,sgd,6,relu,0,NA,0.6309411532209488,0.6298576405687079,0.6300594601894449,0.4486743711760707,0.4488752556237219,0.4488752556237219
10,red,False,sgd,6,relu,0,NA,0.6105811803667377,0.5925126225693421,0.6126935173660423,0.48651452282157676,0.559748427672956,0.501577287066246
10,white,True,sgd,6,relu,0,NA,0.5806347822997134,0.5954915502076257,0.5823295920904429,0.5292318150917743,0.5020449897750511,0.516359918200409
10,red,True,sgd,6,relu,0,NA,0.4903339038745991,0.4998499357475425,0.4946349697534218,0.5860995850622407,0.5880503144654088,0.5962145110410094
11,white,False,sgd,12,relu,0,NA,0.6305988306581042,0.6300862878865747,0.6290264002872147,0.44833446634942214,0.4488752556237219,0.4488752556237219
11,red,False,sgd,12,relu,0,NA,0.5866447642631056,0.5559968183625419,0.5730659277281175,0.508298755186722,0.550314465408805,0.5331230283911672
11,white,True,sgd,12,relu,0,NA,0.5473703697860687,0.581499754041738,0.5628751679675954,0.5550645819170632,0.5102249488752556,0.5357873210633947
11,red,True,sgd,12,relu,0,NA,0.4915683190357636,0.5042598277517835,0.4949207471372201,0.5819502074688797,0.5817610062893082,0.5867507886435331
12,white,False,sgd,24,relu,0,NA,0.6191641593935698,0.6166122851927588,0.6203638449280784,0.45581237253569,0.4621676891615542,0.45194274028629855
12,red,False,sgd,24,relu,0,NA,0.6165863557475236,0.6269989193610426,0.6249130937955357,0.4782157676348548,0.5157232704402516,0.47318611987381703
12,white,True,sgd,24,relu,0,NA,0.5458732426044975,0.58035784947604,0.5622028490273255,0.5591434398368457,0.5071574642126789,0.5296523517382413
12,red,True,sgd,24,relu,0,NA,0.4790614947243845,0.49637214492701887,0.48249580581857576,0.5975103734439834,0.5849056603773585,0.61198738170347
13,white,False,sgd,48,relu,0,NA,0.6181403306939017,0.6163326601796842,0.6187651162254786,0.45479265805574437,0.46421267893660534,0.45296523517382414
13,red,False,sgd,48,relu,0,NA,0.7812505772499623,0.8170634665579166,0.8050147607123438,0.38900414937759337,0.3805031446540881,0.3627760252365931
13,white,True,sgd,48,relu,0,NA,0.5375554772318017,0.5730256268826974,0.5540937992205162,0.5666213460231135,0.5214723926380368,0.5398773006134969
13,red,True,sgd,48,relu,0,NA,0.4904563545686081,0.5020249819605606,0.49093399138104654,0.58298755186722,0.5880503144654088,0.5962145110410094
14,white,False,sgd,96,relu,0,NA,0.6176504805167462,0.6166989847194929,0.6191817763392911,0.45581237253569,0.46421267893660534,0.45807770961145194
14,red,False,sgd,96,relu,0,NA,0.6701522165314291,0.6871462438091542,0.6734239099905694,0.45020746887966806,0.48742138364779874,0.45110410094637227
14,white,True,sgd,96,relu,0,NA,0.5316155527336592,0.5732729508101575,0.5564259965970716,0.5693405846363019,0.5112474437627812,0.5419222903885481
14,red,True,sgd,96,relu,0,NA,0.4888684269798247,0.5023874471772392,0.4924909594683241,0.5860995850622407,0.5880503144654088,0.5772870662460567
15,white,False,nadam,6,sigmoid,0,NA,0.6116758529058854,0.6102252537975038,0.6112434849417283,0.46057104010876954,0.45807770961145194,0.4611451942740286
15,red,False,nadam,6,sigmoid,0,NA,0.49731411157307287,0.4930055336382404,0.4670552996806918,0.5778008298755186,0.5723270440251572,0.61198738170347
15,white,True,nadam,6,sigmoid,0,NA,0.5824484983971944,0.5944016418574046,0.5804658092116529,0.5200543847722637,0.50920245398773,0.5214723926380368
15,red,True,nadam,6,sigmoid,0,NA,0.4831649554715612,0.49669721141551276,0.4865850123697275,0.5923236514522822,0.5911949685534591,0.6151419558359621
16,white,False,nadam,12,sigmoid,0,NA,0.6104276967972497,0.6121371104429593,0.6103288435009603,0.46091094493541807,0.4611451942740286,0.4601226993865031
16,red,False,nadam,12,sigmoid,0,NA,0.49931910621674724,0.5157914828954253,0.4779573690251973,0.578838174273859,0.5691823899371069,0.5962145110410094
16,white,True,nadam,12,sigmoid,0,NA,0.5817368293116484,0.5939368818922764,0.5810348602404136,0.5248130523453433,0.5102249488752556,0.5132924335378323
